Ticker    ,One Month Return ,Six Months Return ,One Year Return ,Monthly Win Rate ,Weekly Win Rate ,Six Months Win Rate ,One Year Win Rate
00660.TW  ,-0.03%           ,0.09%             ,0.06%           ,51.80%           ,51.57%          ,53.78%              ,48.78%
00706L.TW ,-0.03%           ,-0.19%            ,-0.16%          ,40.83%           ,40.73%          ,31.09%              ,34.84%
00683L.TW ,-0.04%           ,0.05%             ,0.04%           ,48.07%           ,48.54%          ,48.74%              ,49.59%
00885.TW  ,-0.09%           ,0.03%             ,-0.01%          ,45.82%           ,46.71%          ,46.22%              ,47.54%
00673R.TW ,-0.28%           ,-0.14%            ,-0.09%          ,45.22%           ,44.99%          ,43.70%              ,41.87%
00900.TW  ,0.04%            ,0.17%             ,0.11%           ,49.87%           ,49.44%          ,51.26%              ,53.66%
00929.TW  ,0.04%            ,0.10%             ,0.11%           ,51.32%           ,50.23%          ,50.42%              ,51.63%
00637L.TW ,0.05%            ,0.20%             ,-0.00%          ,48.14%           ,48.08%          ,47.90%              ,44.31%
00633L.TW ,0.05%            ,0.19%             ,-0.01%          ,48.05%           ,47.98%          ,47.90%              ,44.31%
5880.TW   ,0.12%            ,0.02%             ,-0.00%          ,47.83%           ,47.94%          ,41.18%              ,42.21%
