Ticker    ,One Month Return ,Six Months Return ,One Year Return ,Monthly Win Rate ,Weekly Win Rate ,Six Months Win Rate ,One Year Win Rate
006203.TW ,0.52%            ,0.31%             ,0.16%           ,52.28%           ,52.54%          ,62.18%              ,56.91%
0050.TW   ,0.43%            ,0.34%             ,0.17%           ,51.32%           ,51.70%          ,56.30%              ,54.51%
00895.TW  ,0.42%            ,0.37%             ,0.18%           ,53.50%           ,53.27%          ,60.50%              ,54.92%
00893.TW  ,0.39%            ,0.26%             ,0.13%           ,50.67%           ,50.84%          ,54.62%              ,51.63%
00715L.TW ,0.39%            ,0.24%             ,0.13%           ,50.18%           ,50.41%          ,52.10%              ,52.87%
2880.TW   ,0.38%            ,0.20%             ,0.10%           ,46.28%           ,46.00%          ,52.10%              ,48.36%
00903.TW  ,0.37%            ,0.19%             ,0.10%           ,48.96%           ,48.67%          ,53.78%              ,51.22%
2812.TW   ,0.34%            ,0.18%             ,0.12%           ,42.75%           ,42.43%          ,47.06%              ,44.67%
00851.TW  ,0.32%            ,0.23%             ,0.16%           ,54.72%           ,54.90%          ,59.66%              ,57.79%
2886.TW   ,0.29%            ,0.07%             ,0.04%           ,47.41%           ,47.07%          ,47.06%              ,47.54%
