ticker    ,daily_return           ,weekly_return          ,one_month_return      ,six_months_return    ,one_year_return        ,daily_win_rate     ,weekly_win_rate    ,monthly_win_rate   ,six_months_win_rate ,one_year_win_rate  ,additional_win_rate ,total_win_rate
00929.TW  ,0.12239358721265355    ,0.12499186628739212    ,0.03618363317092658   ,0.09571082636009476  ,0.11323697395039115    ,51.28205128205128  ,50.22598870056497  ,51.32445248986602  , 50.42016806722689  ,51.6260162601626   ,                  5 ,259.87867679987176
00712.TW  ,-0.02551539378333442   ,-0.042080895373836934  ,0.1434644417016959    ,0.015660371823153378 ,0.005569960283765151   ,48.228882833787466 ,48.099290780141835 ,48.599644176450056 , 49.57983193277311  ,48.77049180327869  ,                 10 ,253.27814152643117
00637L.TW ,-5.189900177642137e-05 ,0.00013715387385434597 ,0.05310286332110885   ,0.20305729457245184  ,-0.0016330320644116758 ,47.81818181818182  ,48.08404558404558  ,48.13906983982486  , 47.89915966386555  ,44.3089430894309   ,                  0 ,236.2493999953487
2884.TW   ,0.03588771411536249    ,0.03427521112697595    ,0.20426144613564565   ,0.1463533064489314   ,0.07296767778917507    ,45.68574023614895  ,45.79432624113475  ,45.77674095722529  , 52.94117647058824  ,46.72131147540984  ,                 10 ,246.91929538050707
00650L.TW ,-0.054436094617597755  ,-0.06016812597420565   ,0.14903101074317884   ,0.21282465754357185  ,-0.04198760030338635   ,48.13805631244323  ,48.33333333333333  ,48.35531389943461  , 46.21848739495798  ,42.62295081967213  ,                  5 ,238.66814175984126
2886.TW   ,0.03802275878813375    ,0.03944667123151908    ,0.288410926480205     ,0.06517455402168172  ,0.040864623674322864   ,47.13896457765668  ,47.07092198581561  ,47.405488391856316 , 47.05882352941176  ,47.540983606557376 ,                  5 ,241.21518209129775
2892.TW   ,0.03206831003045039    ,0.03443293254188729    ,0.1767423519597921    ,0.06665281153406245  ,0.02768309516318842    ,47.048138056312446 ,47.52482269503545  ,47.336010906918524 , 50.42016806722689  ,48.77049180327869  ,                 10 ,251.09963152877197
00893.TW  ,0.07625596631772831    ,0.07879827184990754    ,0.38513784913665      ,0.26082660804545355  ,0.1253080065243312     ,50.534759358288774 ,50.84388185654008  ,50.67120940072601  , 54.621848739495796 ,51.6260162601626   ,                 10 ,268.2977156152133
00706L.TW ,-0.09212707332650268   ,-0.09907598096857381   ,-0.027043794875741555 ,-0.18672358531099184 ,-0.15524483069831468   ,41.0535876475931   ,40.730496453900706 ,40.8281982976485   , 31.092436974789916 ,34.83606557377049  ,                  0 ,188.54078494770272
2880.TW   ,0.03713964441605827    ,0.039864300354335386   ,0.3799258184643222    ,0.1987094754836378   ,0.09767369175568254    ,45.95821980018165  ,46.0               ,46.28083552120801  , 52.10084033613446  ,48.36065573770492  ,                 10 ,248.70055139522904
00830.TW  ,0.11785675388388123    ,0.1227023011607015     ,0.2895828229445278    ,0.3018440919291174   ,0.19523371439583573    ,52.545454545454554 ,52.450142450142444 ,52.35037503765707  , 54.621848739495796 ,54.47154471544715  ,                  5 ,271.43936548819704
00900.TW  ,0.02210422872959395    ,0.02003470928900638    ,0.04164513854343065   ,0.16740906225902052  ,0.11458770909675399    ,49.6               ,49.43609022556391  ,49.8679569755337   , 51.26050420168067  ,53.65853658536586  ,                  0 ,253.82308798814415
0050.TW   ,0.07173234613854249    ,0.0723710455061907     ,0.43486258851604165   ,0.341427826818118    ,0.1694090168431417     ,51.49863760217984  ,51.695035460992905 ,51.31598276592709  , 56.30252100840336  ,54.50819672131148  ,                 15 ,280.3203735588147
5880.TW   ,0.03924079575130444    ,0.04149512942196516    ,0.12025929558183554   ,0.02204156777156786  ,-0.0024825940440533    ,47.68392370572207  ,47.94326241134752  ,47.83429345597263  , 41.17647058823529  ,42.21311475409836  ,                  5 ,231.85106491537587
00673R.TW ,-0.003937241775831921  ,-0.01834953757310912   ,-0.2827848927614032   ,-0.14006539174966123 ,-0.08805794060403085   ,45.27272727272727  ,44.98575498575498  ,45.223534499467874 , 43.69747899159664  ,41.86991869918699  ,                  5 ,226.04941444873378
00715L.TW ,0.10475024591700766    ,0.14155117417178767    ,0.39453755849526123   ,0.2372100482821206   ,0.134538223653332      ,50.04541326067211  ,50.41134751773049  ,50.175257654044714 , 52.10084033613446  ,52.86885245901639  ,                  0 ,255.60171122759817
00633L.TW ,-0.004491400455343586  ,-0.005121125865668032  ,0.047815591757484406  ,0.18879195124439999  ,-0.006682080712234769  ,47.72727272727273  ,47.977207977207975 ,48.05211888038404  , 47.89915966386555  ,44.3089430894309   ,                  5 ,240.9647023381612
2812.TW   ,0.06762016127535347    ,0.06782255895356686    ,0.34120227714119594   ,0.17676273947368562  ,0.11966289295057349    ,42.32515894641235  ,42.42553191489362  ,42.75473483035983  , 47.05882352941176  ,44.67213114754098  ,                 20 ,239.23638036861854
00885.TW  ,-0.01831317177197798   ,-0.010653408326795764  ,-0.09180642503751692  ,0.03112013273629346  ,-0.013506106949875472  ,46.699875466998755 ,46.705653021442494 ,45.81599312597477  , 46.21848739495798  ,47.540983606557376 ,                  5 ,237.98099261593137
00895.TW  ,0.11451772303205751    ,0.13077972403855653    ,0.4173087803397456    ,0.37082877006869425  ,0.18482660952591873    ,52.99026425591099  ,53.26797385620915  ,53.4987319759272   , 60.50420168067227  ,54.91803278688525  ,                 20 ,295.1792045556049
00662.TW  ,0.09427233137622376    ,0.1052961590080552     ,0.27869317406356636   ,0.19540612410698055  ,0.13828836798327812    ,53.27272727272727  ,53.47578347578347  ,53.08507225413941  , 59.66386554621849  ,56.09756097560976  ,                 10 ,285.5950095244784
00646.TW  ,0.06525681818826502    ,0.07054310561639777    ,0.1865991551269942    ,0.17150502808268742  ,0.11308816866886062    ,54.0               ,54.173789173789174 ,53.64389381603249  , 57.98319327731093  ,56.09756097560976  ,                 10 ,285.8984372427424
00903.TW  ,0.020480997561681143   ,0.022915292497476935   ,0.3715669526186883    ,0.185347121017814    ,0.10000499243812627    ,49.00332225913621  ,48.66925064599483  ,48.95922861511076  , 53.78151260504202  ,51.21951219512195  ,                  5 ,256.6328263204058
00683L.TW ,0.021095959106275566   ,0.03464823229113512    ,-0.038157293785770124 ,0.05158672485302411  ,0.03583018205120304    ,48.18181818181818  ,48.539886039886035 ,48.07402139908657  , 48.739495798319325 ,49.59349593495935  ,                  5 ,248.12871735406947
00642U.TW ,0.03459257171392242    ,0.05768186752502903    ,0.2903314740678591    ,0.15513956666032233  ,0.08785562759200029    ,49.54545454545455  ,49.87891737891738  ,49.72640772944251  , 52.94117647058824  ,53.65853658536586  ,                  0 ,255.7504927097685
