ticker    ,daily_return           ,weekly_return          ,one_month_return      ,six_months_return    ,one_year_return       ,daily_win_rate     ,weekly_win_rate    ,monthly_win_rate   ,six_months_win_rate ,one_year_win_rate  ,additional_win_rate ,total_win_rate
00929.TW  ,0.12371479897465446    ,0.13096007515325053    ,-0.04336773027965894  ,0.1024412591724529   ,0.10280414613707478   ,51.45985401459854  ,51.05555555555555  ,51.64912781454134  , 51.69491525423729  ,51.229508196721305 ,                  5 ,262.088960835654
00712.TW  ,-0.024859599272049348  ,-0.04209131020920571   ,0.16860307449441567   ,0.0215134336982923   ,0.0083901415199193    ,48.275862068965516 ,48.099290780141835 ,48.65474059518284  , 50.42016806722689  ,48.97959183673469  ,                  5 ,249.42965334825178
00637L.TW ,0.0006161087962761905  ,0.003263194405693675   ,0.09662093226032202   ,0.21485281500627335  ,-0.012691494478503281 ,47.86557674841054  ,48.30496453900709  ,48.2051855423042   , 48.30508474576271  ,44.26229508196721  ,                  5 ,241.94310665745175
2884.TW   ,0.03585511855304154    ,0.03356361657246408    ,0.19497683494766174   ,0.14469586404400694  ,0.07266985053289272   ,45.6442831215971   ,45.58156028368794  ,45.68032222444293  , 52.10084033613446  ,46.53061224489796  ,                  5 ,240.5376182107604
00650L.TW ,-0.057503670053454324  ,-0.06348925569805414   ,-0.013735701085860147 ,0.18989656407402442  ,-0.05582371887151816  ,48.09437386569873  ,48.33333333333333  ,48.27266927133544  , 46.21848739495798  ,42.44897959183673  ,                  0 ,233.36784345716222
2886.TW   ,0.03777170771350931    ,0.03944544576265689    ,0.26446568098686046   ,0.06639919764533632  ,0.03972483143739348   ,47.0961887477314   ,47.07092198581561  ,47.336617868440335 , 47.05882352941176  ,47.3469387755102   ,                  5 ,240.90949090690933
2892.TW   ,0.03203918349999584    ,0.033696715338105386   ,0.16870860868889245   ,0.06977674964558148  ,0.027570102938032547  ,47.005444646098006 ,47.31205673758865  ,47.239592174136156 , 50.42016806722689  ,48.57142857142857  ,                  5 ,245.54869019647828
00893.TW  ,0.07983303514926741    ,0.09561025411694571    ,0.439884244055941     ,0.2935890674943436   ,0.12711622074193596   ,50.60080106809078  ,51.15303983228511  ,50.71905629067817  , 55.932203389830505 ,51.63934426229508  ,                 20 ,280.0444448431797
00706L.TW ,-0.09310658681914971   ,-0.10445151781343719   ,-0.07902232368733987  ,-0.19544133819181536 ,-0.1593890208943661   ,41.01633393829401  ,40.5177304964539   ,40.786875983598904 , 31.092436974789916 ,34.69387755102041  ,                  0 ,188.10725494415715
2880.TW   ,0.03644894248954687    ,0.03716477623738881    ,0.3297781368671719    ,0.19836067944323357  ,0.0943226841294431    ,45.91651542649728  ,45.787234042553195 ,46.198190893108844 , 52.10084033613446  ,48.16326530612245  ,                  5 ,243.16604600441624
00830.TW  ,0.11967268563580688    ,0.13118178788343082    ,0.171503485889742     ,0.32072836066460786  ,0.19692294175077263   ,52.58855585831063  ,52.652482269503544 ,52.43301966575624  , 55.08474576271186  ,54.50819672131148  ,                 10 ,277.26700027759375
00900.TW  ,0.021972532248858468   ,0.019435897490356457   ,-0.020701442163771424 ,0.16645911905369823  ,0.09051764460400827   ,49.52076677316294  ,49.06716417910448  ,49.78272970280643  , 50.847457627118644 ,52.86885245901639  ,                  0 ,252.08697074120886
0050.TW   ,0.07173646109838915    ,0.07215405500783438    ,0.4185626034439363    ,0.34206869166626697  ,0.16902882868022978   ,51.542649727767696 ,51.695035460992905 ,51.37107918465987  , 57.14285714285714  ,54.69387755102041  ,                 15 ,281.445499067298
5880.TW   ,0.039205154701575734   ,0.041094431054004184   ,0.11479296396447937   ,0.02204156777156786  ,-0.002472461007138797 ,47.64065335753176  ,47.730496453900706 ,47.75164882787345  , 41.17647058823529  ,42.04081632653061  ,                  5 ,231.34008555407183
00673R.TW ,-0.0028961845622087583 ,-0.01341517488892718   ,-0.23010467783178357  ,-0.12056952640421273 ,-0.06326486469637674  ,45.322434150772025 ,45.219858156028366 ,45.30617912756705  , 44.06779661016949  ,42.62295081967213  ,                  5 ,227.53921886420906
00715L.TW ,0.1034960693791664     ,0.14018502767259447    ,0.31859957300701175   ,0.22960346098688506  ,0.1287805242823134    ,50.0               ,50.41134751773049  ,50.133935339995126 , 52.10084033613446  ,52.6530612244898   ,                  0 ,255.29918441834988
00633L.TW ,-0.0038166985048707735 ,-0.0019602668404322086 ,0.09310729180196323   ,0.20368478061351444  ,-0.019851309340061272 ,47.774750227066306 ,48.198581560283685 ,48.11823458286337  , 48.30508474576271  ,43.85245901639344  ,                  5 ,241.24911013236954
2812.TW   ,0.06755874423513972    ,0.06889173871820567    ,0.32569308272568703   ,0.179364359695948    ,0.11917447297934665   ,42.28675136116152  ,42.42553191489362  ,42.64454199289427  , 47.05882352941176  ,44.48979591836735  ,                 20 ,238.9054447167285
00885.TW  ,-0.018186930736545398  ,-0.00968379926859425   ,-0.08385802482306662  ,0.03181810231343959  ,-0.013111966188119288 ,46.766169154228855 ,46.99805068226121  ,45.90838041348401  , 47.05882352941176  ,47.755102040816325 ,                  5 ,239.4865258202022
00895.TW  ,0.11426724598840195    ,0.12210144526165724    ,0.3953595052626526    ,0.3702777173682211   ,0.1838045610325219    ,52.916666666666664 ,52.94117647058823  ,53.30933803653326  , 60.50420168067227  ,54.69387755102041  ,                 10 ,284.36526040548085
00662.TW  ,0.09574660445662105    ,0.11215010181999209    ,0.24421311587020816   ,0.21160424990291454  ,0.13874772085157006   ,53.31516802906449  ,53.673758865248224 ,53.13465903099891  , 61.016949152542374 ,55.73770491803278  ,                 10 ,286.87823999588676
00646.TW  ,0.06680650426666186    ,0.07777446050494409    ,0.2316492614685605    ,0.19126021404803745  ,0.1185050929843785    ,54.04178019981835  ,54.36879432624113  ,53.72653844413166  , 59.32203389830508  ,56.14754098360656  ,                 10 ,287.60668785210277
00903.TW  ,0.023288384348215427   ,0.03599756033125867    ,0.3665548266375107    ,0.20761982350101177  ,0.08132919328130296   ,49.08789386401327  ,49.06410256410256  ,49.0472051547002   , 55.08474576271186  ,50.81967213114754  ,                 25 ,278.1036194766755
00683L.TW ,0.020997104210652928   ,0.034127838000199966   ,-0.06697649507738022  ,0.04813349510309366  ,0.05352376254461834   ,48.13805631244323  ,48.33333333333333  ,48.02443462222707  , 47.45762711864407  ,50.0               ,                  5 ,246.95345138664769
00642U.TW ,0.033486426967287146   ,0.05240591638839116    ,0.22336120883327099   ,0.13333310608261867  ,0.06733152683933825   ,49.50045413260672  ,49.666666666666664 ,49.66029202696318  , 52.54237288135594  ,52.86885245901639  ,                  0 ,254.2386381666089
00770.TW  ,0.07480578271936573    ,0.09540894558845989    ,0.2402440445590863    ,0.19020502117013424  ,0.1438886982041424    ,54.3557168784029   ,54.659574468085104 ,54.265196174837754 , 58.82352941176471  ,57.55102040816327  ,                 10 ,289.6550373412537
00762.TW  ,0.1010140486263453     ,0.12077662764066513    ,0.24162112819726486   ,0.23968291940646916  ,0.16193448154310724   ,52.63157894736842  ,52.91489361702128  ,52.62345580768469  , 56.30252100840336  ,55.10204081632652  ,                 10 ,279.5744901968042
0051.TW   ,0.08777201662964694    ,0.08612052627387472    ,0.1654187979627146    ,0.1482142926573685   ,0.08196051587078865   ,56.896551724137936 ,56.687943262411345 ,57.22247031430943  , 58.82352941176471  ,55.10204081632652  ,                 10 ,294.73253552894994
00851.TW  ,0.09161793464759167    ,0.10612138259370377    ,0.33521582167933045   ,0.23882626649224975  ,0.16339639881551635   ,54.62794918330308  ,54.90070921985815  ,54.742887519389924 , 60.50420168067227  ,57.95918367346938  ,                 10 ,292.7349312766928
006203.TW ,0.07269528893084067    ,0.07198127051201335    ,0.40372326217279964   ,0.3084613862860329   ,0.15363823593977088   ,52.2252497729337   ,52.319148936170215 ,52.18316512732743  , 62.71186440677966  ,56.14754098360656  ,                 15 ,290.58696922681753
00660.TW  ,0.03622823026863335    ,0.03377941703847081    ,0.04090508510890624   ,0.09378777727169783  ,0.05284029350826208   ,51.40781108083561  ,51.35460992907801  ,51.72066724064423  , 54.23728813559322  ,48.36065573770492  ,                  5 ,262.08103212385595
