Title,Link
《金融股》兆豐證券桃園分公司向兆豐銀行取得使用權資產,https://tw.stock.yahoo.com/news/%E9%87%91%E8%9E%8D%E8%82%A1-%E5%85%86%E8%B1%90%E8%AD%89%E5%88%B8%E6%A1%83%E5%9C%92%E5%88%86%E5%85%AC%E5%8F%B8%E5%90%91%E5%85%86%E8%B1%90%E9%8A%80%E8%A1%8C%E5%8F%96%E5%BE%97%E4%BD%BF%E7%94%A8%E6%AC%8A%E8%B3%87%E7%94%A2-090829637.html
《金融股》內外資都愛 兆豐金笑納3線,https://tw.stock.yahoo.com/news/%E9%87%91%E8%9E%8D%E8%82%A1-%E5%85%A7%E5%A4%96%E8%B3%87%E9%83%BD%E6%84%9B-%E5%85%86%E8%B1%90%E9%87%91%E7%AC%91%E7%B4%8D3%E7%B7%9A-015056084.html
公股四金二銀大吸金！上半年合賺632億元 兆豐金獨占近1/3,https://tw.stock.yahoo.com/news/%E5%85%AC%E8%82%A1%E5%9B%9B%E9%87%91%E4%BA%8C%E9%8A%80%E5%A4%A7%E5%90%B8%E9%87%91-%E4%B8%8A%E5%8D%8A%E5%B9%B4%E5%90%88%E8%B3%BA632%E5%84%84%E5%85%83-%E5%85%86%E8%B1%90%E9%87%91%E7%8D%A8%E5%8D%A0%E8%BF%911-3-122002716.html
公股4金2銀上半年獲利一表看　兆豐金大賺逾200億穩居冠,https://tw.stock.yahoo.com/news/%E5%85%AC%E8%82%A14%E9%87%912%E9%8A%80%E4%B8%8A%E5%8D%8A%E5%B9%B4%E7%8D%B2%E5%88%A9%E4%B8%80%E8%A1%A8%E7%9C%8B-%E5%85%86%E8%B1%90%E9%87%91%E5%A4%A7%E8%B3%BA%E9%80%BE200%E5%84%84%E7%A9%A9%E5%B1%85%E5%86%A0-110303410.html
兆豐票券響應環保 守護生態多樣性,https://tw.stock.yahoo.com/news/%E5%85%86%E8%B1%90%E7%A5%A8%E5%88%B8%E9%9F%BF%E6%87%89%E7%92%B0%E4%BF%9D-%E5%AE%88%E8%AD%B7%E7%94%9F%E6%85%8B%E5%A4%9A%E6%A8%A3%E6%80%A7-201000142.html
兆豐金上半年大賺203億年增8.7%創歷年同期新高  EPS 1.42元,https://tw.stock.yahoo.com/news/%E5%85%86%E8%B1%90%E9%87%91%E4%B8%8A%E5%8D%8A%E5%B9%B4%E5%A4%A7%E8%B3%BA203%E5%84%84%E5%B9%B4%E5%A2%9E8-7-%E5%89%B5%E6%AD%B7%E5%B9%B4%E5%90%8C%E6%9C%9F%E6%96%B0%E9%AB%98-eps-1-131619743.html
兆豐金上半年賺逾200億元年增8.69％ EPS 1.42元,https://tw.stock.yahoo.com/news/%E5%85%86%E8%B1%90%E9%87%91%E4%B8%8A%E5%8D%8A%E5%B9%B4%E8%B3%BA%E9%80%BE200%E5%84%84%E5%85%83%E5%B9%B4%E5%A2%9E8-69-eps-1-42%E5%85%83-101128752.html
《台北股市》不斷更新！6金控獲利搶先看 兆豐金秀4冠王,https://tw.stock.yahoo.com/news/%E5%8F%B0%E5%8C%97%E8%82%A1%E5%B8%82-%E4%B8%8D%E6%96%B7%E6%9B%B4%E6%96%B0-6%E9%87%91%E6%8E%A7%E7%8D%B2%E5%88%A9%E6%90%B6%E5%85%88%E7%9C%8B-%E5%85%86%E8%B1%90%E9%87%91%E7%A7%804%E5%86%A0%E7%8E%8B-093152543.html
【公告】兆豐金暨主要子公司113年6月份自結合併盈餘,https://tw.stock.yahoo.com/news/%E5%85%AC%E5%91%8A-%E5%85%86%E8%B1%90%E9%87%91%E6%9A%A8%E4%B8%BB%E8%A6%81%E5%AD%90%E5%85%AC%E5%8F%B8113%E5%B9%B46%E6%9C%88%E4%BB%BD%E8%87%AA%E7%B5%90%E5%90%88%E4%BD%B5%E7%9B%88%E9%A4%98-084538298.html
《金融股》兆豐金上半年每股盈餘1.42元,https://tw.stock.yahoo.com/news/%E9%87%91%E8%9E%8D%E8%82%A1-%E5%85%86%E8%B1%90%E9%87%91%E4%B8%8A%E5%8D%8A%E5%B9%B4%E6%AF%8F%E8%82%A1%E7%9B%88%E9%A4%981-42%E5%85%83-084232348.html
