ticker,daily_return,weekly_return,one_month_return,six_months_return,one_year_return,daily_win_rate,weekly_win_rate,monthly_win_rate,six_months_win_rate,one_year_win_rate,additional_win_rate,total_win_rate
00929.TW,0.11757031288308262,0.11757967029930197,-0.10230549622199066,0.08356473975196783,0.0961053153667207,51.08695652173913,49.94444444444444,51.04972721514075,50.42016806722689,50.81300813008131,0,253.31430437863253
00712.TW,-0.022864340373720492,-0.039999177078378544,0.25579058024189094,0.03384588378525884,0.017193090971815348,48.32275611967361,48.099290780141835,48.701360641802886,50.42016806722689,49.1869918699187,45,289.73056747876393
00637L.TW,0.001475973317913094,0.0025245980407635005,0.1294714129523123,0.22953212862377612,-0.008731389155765776,47.86944696282865,48.163120567375884,48.16704186779689,48.739495798319325,44.3089430894309,0,237.24804828575165
2884.TW,0.03714802318284858,0.03480120657582863,0.2591819479307659,0.18396127739957388,0.07614450688510392,45.742753623188406,45.687943262411345,45.78854733266804,53.78151260504202,46.7479674796748,15,252.7487243029846
00650L.TW,-0.05798897002104842,-0.06056859338592769,-0.038890854705698606,0.21964388797416495,-0.05800453397505729,48.050770625566635,48.33333333333333,48.20273920140537,46.21848739495798,42.27642276422765,0,233.08175331949096
2886.TW,0.03965074134599428,0.04223726543333719,0.3188804882606456,0.1192328729179288,0.048295533391135556,47.19202898550724,47.283687943262414,47.48813301995549,48.739495798319325,47.96747967479675,15,253.67082542184122
2892.TW,0.033231595705267604,0.034795956767506714,0.22134340959001644,0.10345861285838046,0.03162093366292638,47.01086956521739,47.31205673758865,47.217947152491135,51.26050420168067,48.3739837398374,15,256.1753613968152
00893.TW,0.0787667244277075,0.08273001538426364,0.3738044414914504,0.28911804757367504,0.12348085727707714,50.466045272969374,50.73375262054507,50.38780859100942,55.46218487394958,51.21951219512195,0,258.26930355359536
00706L.TW,-0.09225437853906812,-0.10338294021341057,-0.038802790577857384,-0.17712739701872013,-0.15530196415158104,41.069809610154124,40.588652482269495,40.89177108849401,31.932773109243694,34.959349593495936,15,204.44235588365726
2880.TW,0.0368867547974322,0.03794528142776931,0.3225883884543339,0.23408568457304896,0.09343326593423953,45.92391304347826,45.787234042553195,46.198190893108844,52.94117647058824,47.96747967479675,15,253.81799412452526
00830.TW,0.11911198638167042,0.12464376154472027,0.14013165203903616,0.3162100793584152,0.19378314057073887,52.58386219401632,52.51063829787234,52.42030510758714,55.46218487394958,54.47154471544715,0,267.4485351888725
00900.TW,0.021614319321410957,0.019286041028785054,-0.026755857671785815,0.164768099716959,0.08904736114782985,49.52229299363057,49.31592039800995,49.89199543707216,51.26050420168067,52.84552845528455,0,252.8362414856779
