Title,Link
《鋼鐵股》中鋼失落賣壓 長榮鋼、盛餘除息首日窘貼息,https://tw.stock.yahoo.com/news/%E9%8B%BC%E9%90%B5%E8%82%A1-%E4%B8%AD%E9%8B%BC%E5%A4%B1%E8%90%BD%E8%B3%A3%E5%A3%93-%E9%95%B7%E6%A6%AE%E9%8B%BC-%E7%9B%9B%E9%A4%98%E9%99%A4%E6%81%AF%E9%A6%96%E6%97%A5%E7%AA%98%E8%B2%BC%E6%81%AF-044632725.html
中鋼：鋼市進入淡季調整 8月月盤產品平盤,https://tw.stock.yahoo.com/news/%E4%B8%AD%E9%8B%BC-%E9%8B%BC%E5%B8%82%E9%80%B2%E5%85%A5%E6%B7%A1%E5%AD%A3%E8%AA%BF%E6%95%B4-8%E6%9C%88%E6%9C%88%E7%9B%A4%E7%94%A2%E5%93%81%E5%B9%B3%E7%9B%A4-092624386.html
《鋼鐵股》陸振興+減產 中鋼續看好鋼價築底回升,https://tw.stock.yahoo.com/news/%E9%8B%BC%E9%90%B5%E8%82%A1-%E9%99%B8%E6%8C%AF%E8%88%88-%E6%B8%9B%E7%94%A2-%E4%B8%AD%E9%8B%BC%E7%BA%8C%E7%9C%8B%E5%A5%BD%E9%8B%BC%E5%83%B9%E7%AF%89%E5%BA%95%E5%9B%9E%E5%8D%87-081137275.html
中鋼開出8月份月盤，以平盤為主軸基調,https://tw.stock.yahoo.com/news/%E4%B8%AD%E9%8B%BC%E9%96%8B%E5%87%BA8%E6%9C%88%E4%BB%BD%E6%9C%88%E7%9B%A4-%E4%BB%A5%E5%B9%B3%E7%9B%A4%E7%82%BA%E4%B8%BB%E8%BB%B8%E5%9F%BA%E8%AA%BF-070000182.html
《鋼鐵股》鋼市淡季調整 中鋼8月盤價連2平,https://tw.stock.yahoo.com/news/%E9%8B%BC%E9%90%B5%E8%82%A1-%E9%8B%BC%E5%B8%82%E6%B7%A1%E5%AD%A3%E8%AA%BF%E6%95%B4-%E4%B8%AD%E9%8B%BC8%E6%9C%88%E7%9B%A4%E5%83%B9%E9%80%A32%E5%B9%B3-064748014.html
鉅亨速報 - Factset 最新調查：中鋼(2002-TW)EPS預估下修至0.36元，預估目標價為27元,https://tw.stock.yahoo.com/news/%E9%89%85%E4%BA%A8%E9%80%9F%E5%A0%B1-factset-%E6%9C%80%E6%96%B0%E8%AA%BF%E6%9F%A5-%E4%B8%AD%E9%8B%BC-2002-141036334.html
中鋼6月營收微幅年減 跌破300億元,https://tw.stock.yahoo.com/news/%E4%B8%AD%E9%8B%BC6%E6%9C%88%E7%87%9F%E6%94%B6%E5%BE%AE%E5%B9%85%E5%B9%B4%E6%B8%9B-%E8%B7%8C%E7%A0%B4300%E5%84%84%E5%85%83-104819112.html
《鋼鐵股》中鋼5年15.5億元 強化全廠電力系統韌性,https://tw.stock.yahoo.com/news/%E9%8B%BC%E9%90%B5%E8%82%A1-%E4%B8%AD%E9%8B%BC5%E5%B9%B415-5%E5%84%84%E5%85%83-%E5%BC%B7%E5%8C%96%E5%85%A8%E5%BB%A0%E9%9B%BB%E5%8A%9B%E7%B3%BB%E7%B5%B1%E9%9F%8C%E6%80%A7-003536423.html
中鋼宣布，斥資15.5億元強化全廠電力系統,https://tw.stock.yahoo.com/news/%E4%B8%AD%E9%8B%BC%E5%AE%A3%E5%B8%83-%E6%96%A5%E8%B3%8715-5%E5%84%84%E5%85%83%E5%BC%B7%E5%8C%96%E5%85%A8%E5%BB%A0%E9%9B%BB%E5%8A%9B%E7%B3%BB%E7%B5%B1-065408832.html
【公告】中鋼 2024年6月合併營收299.57億元 年增-0.86%,https://tw.stock.yahoo.com/news/%E5%85%AC%E5%91%8A-%E4%B8%AD%E9%8B%BC-2024%E5%B9%B46%E6%9C%88%E5%90%88%E4%BD%B5%E7%87%9F%E6%94%B6299-57%E5%84%84%E5%85%83-%E5%B9%B4%E5%A2%9E-055300218.html
