,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Tax Effect Of Unusual Items,439276610.819893,450946515.219931,612244570.460729,804033135.053612,
Tax Rate For Calcs,0.130998,0.13179,0.105809,0.126103,
Normalized EBITDA,1520153500000.0,1589654800000.0,1085058800000.0,912176400000.0,
Total Unusual Items,3353300000.0,3421700000.0,5786300000.0,6376000000.0,
Total Unusual Items Excluding Goodwill,3353300000.0,3421700000.0,5786300000.0,6376000000.0,
Net Income From Continuing Operation Net Minority Interest,851740000000.0,992923400000.0,592359200000.0,510744000000.0,
Reconciled Depreciation,532190900000.0,437254300000.0,422394900000.0,331724600000.0,
Reconciled Cost Of Revenue,986625200000.0,915536500000.0,767877700000.0,628124700000.0,
EBITDA,1523506800000.0,1593076500000.0,1090845100000.0,918552400000.0,
EBIT,991315900000.0,1155822200000.0,668450200000.0,586827800000.0,
Net Interest Income,48294500000.0,10672200000.0,294600000.0,6936900000.0,
Interest Expense,11999400000.0,11750000000.0,5414200000.0,2081500000.0,
Interest Income,60293900000.0,22422200000.0,5708800000.0,9018400000.0,
Normalized Income,848825976610.82,989952646515.22,587185144570.4607,505172033135.0536,
Net Income From Continuing And Discontinued Operation,851740000000.0,992923400000.0,592359200000.0,510744000000.0,
Total Expenses,1240279700000.0,1142613300000.0,937435400000.0,772470200000.0,
Total Operating Income As Reported,921465600000.0,1121278900000.0,649980900000.0,566783700000.0,
Diluted Average Shares,25929300000.0,25929190000.0,25930380000.0,25930380000.0,
Basic Average Shares,25929200000.0,25929190000.0,25930380000.0,25930380000.0,
Diluted EPS,32.85,39.2,23.01,19.97,
Basic EPS,32.85,39.2,23.01,19.97,
Diluted NI Availto Com Stockholders,851740000000.0,992923400000.0,592359200000.0,510744000000.0,
Net Income Common Stockholders,851740000000.0,992923400000.0,592359200000.0,510744000000.0,
Net Income,851740000000.0,992923400000.0,592359200000.0,510744000000.0,
Minority Interests,712300000.0,-371300000.0,-521400000.0,-264000000.0,
Net Income Including Noncontrolling Interests,851027700000.0,993294700000.0,592880600000.0,511008000000.0,
Net Income Continuous Operations,851027700000.0,993294700000.0,592880600000.0,511008000000.0,
Tax Provision,128288800000.0,150777500000.0,70155400000.0,73738300000.0,
Pretax Income,979316500000.0,1144072200000.0,663036000000.0,584746300000.0,
Other Income Expense,9565900000.0,12122000000.0,12761800000.0,11024800000.0,
Other Non Operating Income Expenses,1412400000.0,1020500000.0,1462800000.0,1086800000.0,
Special Income Charges,15700000.0,0.0,0.0,0.0,
Gain On Sale Of Ppe,,,,,-950000000.0
Gain On Sale Of Business,15700000.0,0.0,0.0,0.0,
Write Off,9500000.0,900000.0,1300000.0,-900000.0,
Impairment Of Capital Assets,,,,,-301400000.0
Earnings From Equity Interest,4800200000.0,7679800000.0,5512700000.0,3562000000.0,
Gain On Sale Of Security,3337600000.0,3421700000.0,5786300000.0,6376000000.0,
Net Non Operating Interest Income Expense,48294500000.0,10672200000.0,294600000.0,6936900000.0,
Total Other Finance Cost,,,-294000000.0,-6937000000.0,-12939000000.0
Interest Expense Non Operating,11999400000.0,11750000000.0,5414200000.0,2081500000.0,
Interest Income Non Operating,60293900000.0,22422200000.0,5708800000.0,9018400000.0,
Operating Income,921456100000.0,1121278000000.0,649979600000.0,566784600000.0,
Operating Expense,253654500000.0,227076800000.0,169557700000.0,144345500000.0,
Other Operating Expenses,-179200000.0,369300000.0,334700000.0,-710900000.0,
Research And Development,182370200000.0,163262200000.0,124734800000.0,109486000000.0,
Selling General And Administration,71463500000.0,63445300000.0,44488200000.0,35570400000.0,
Selling And Marketing Expense,10590700000.0,9920500000.0,7558600000.0,7112800000.0,
General And Administrative Expense,60872800000.0,53524800000.0,36929600000.0,28457600000.0,
Other Gand A,60872800000.0,53524800000.0,36929600000.0,28457600000.0,
Gross Profit,1175110600000.0,1348354800000.0,819537300000.0,711130100000.0,
Cost Of Revenue,986625200000.0,915536500000.0,767877700000.0,628124700000.0,
Total Revenue,2161735800000.0,2263891300000.0,1587415000000.0,1339254800000.0,
Operating Revenue,2161735800000.0,2263891300000.0,1587415000000.0,1339254800000.0,
