,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Tax Effect Of Unusual Items,91194004.580943,268414950.166981,-48720239.339163,-11222843.783861
Tax Rate For Calcs,0.189384,0.185193,0.213948,0.19205
Normalized EBITDA,6698706000.0,4473273000.0,3754772000.0,2897265000.0
Total Unusual Items,481530000.0,1449380000.0,-227720000.0,-58437000.0
Total Unusual Items Excluding Goodwill,481530000.0,1449380000.0,-227720000.0,-58437000.0
Net Income From Continuing Operation Net Minority Interest,5105824000.0,4179232000.0,2323776000.0,1854481000.0
Reconciled Depreciation,683700000.0,594069000.0,439234000.0,446202000.0
Reconciled Cost Of Revenue,10710148000.0,9133871000.0,7988328000.0,7329023000.0
EBITDA,7180236000.0,5922653000.0,3527052000.0,2838828000.0
EBIT,6496536000.0,5328584000.0,3087818000.0,2392626000.0
Net Interest Income,-19425000.0,-20347000.0,-41968000.0,-28116000.0
Interest Expense,55068000.0,44738000.0,58811000.0,54020000.0
Interest Income,35643000.0,24391000.0,16843000.0,25904000.0
Normalized Income,4715488004.580943,2998266950.166981,2502775760.660837,1901695156.216139
Net Income From Continuing And Discontinued Operation,5105824000.0,4179232000.0,2323776000.0,1854481000.0
Total Expenses,17021107000.0,14217999000.0,12490973000.0,11772810000.0
Diluted Average Shares,425460000.0,422661000.0,421630000.0,419864000.0
Basic Average Shares,420518000.0,419790000.0,417761000.0,414078000.0
Diluted EPS,12.0,9.89,5.51,4.42
Basic EPS,12.14,9.96,5.56,4.48
Diluted NI Availto Com Stockholders,5105824000.0,4179232000.0,2323776000.0,1854481000.0
Net Income Common Stockholders,5105824000.0,4179232000.0,2323776000.0,1854481000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,5105824000.0,4179232000.0,2323776000.0,1854481000.0
Minority Interests,-115734000.0,-126083000.0,-57181000.0,-34995000.0
Net Income Including Noncontrolling Interests,5221558000.0,4305315000.0,2380957000.0,1889476000.0
Net Income Continuous Operations,5221558000.0,4305315000.0,2380957000.0,1889476000.0
Tax Provision,1219910000.0,978531000.0,648050000.0,449130000.0
Pretax Income,6441468000.0,5283846000.0,3029007000.0,2338606000.0
Other Non Operating Income Expenses,120862000.0,167678000.0,186621000.0,235274000.0
Special Income Charges,76336000.0,1448907000.0,-237103000.0,-61897000.0
Other Special Charges,-95013000.0,-1739939000.0,-7071000.0,-15468000.0
Write Off,18677000.0,291032000.0,244174000.0,77365000.0
Net Non Operating Interest Income Expense,-19425000.0,-20347000.0,-41968000.0,-28116000.0
Interest Expense Non Operating,55068000.0,44738000.0,58811000.0,54020000.0
Interest Income Non Operating,35643000.0,24391000.0,16843000.0,25904000.0
Operating Income,5046135000.0,3366024000.0,3041570000.0,2136824000.0
Operating Expense,6310959000.0,5084128000.0,4502645000.0,4443787000.0
Other Operating Expenses,,-1000.0,-5000.0,-79000.0
Research And Development,1917411000.0,1511465000.0,1341956000.0,1283422000.0
Selling General And Administration,4393548000.0,3572663000.0,3160689000.0,3160444000.0
Selling And Marketing Expense,2947968000.0,2307707000.0,2080171000.0,2140645000.0
General And Administrative Expense,1445580000.0,1264956000.0,1080518000.0,1019799000.0
Gross Profit,11357094000.0,8450152000.0,7544215000.0,6580611000.0
Cost Of Revenue,10710148000.0,9133871000.0,7988328000.0,7329023000.0
Total Revenue,22067242000.0,17584023000.0,15532543000.0,13909634000.0
Operating Revenue,22067242000.0,17584023000.0,15532543000.0,13909634000.0
