Title,Link
【公告】威盛 2024年6月合併營收10.22億元 年增-19.38%,https://tw.stock.yahoo.com/news/%E5%85%AC%E5%91%8A-%E5%A8%81%E7%9B%9B-2024%E5%B9%B46%E6%9C%88%E5%90%88%E4%BD%B5%E7%87%9F%E6%94%B610-22%E5%84%84%E5%85%83-%E5%B9%B4%E5%A2%9E-101322601.html
《半導體》威盛決辦現增發行普通股7500萬股內 參與發行海外存託憑證,https://tw.stock.yahoo.com/news/%E5%8D%8A%E5%B0%8E%E9%AB%94-%E5%A8%81%E7%9B%9B%E6%B1%BA%E8%BE%A6%E7%8F%BE%E5%A2%9E%E7%99%BC%E8%A1%8C%E6%99%AE%E9%80%9A%E8%82%A17500%E8%90%AC%E8%82%A1%E5%85%A7-%E5%8F%83%E8%88%87%E7%99%BC%E8%A1%8C%E6%B5%B7%E5%A4%96%E5%AD%98%E8%A8%97%E6%86%91%E8%AD%89-093638162.html
【公告】董事會決議辦理現金增資發行普通股參與發行海外存託憑證,https://tw.stock.yahoo.com/news/%E5%85%AC%E5%91%8A-%E8%91%A3%E4%BA%8B%E6%9C%83%E6%B1%BA%E8%AD%B0%E8%BE%A6%E7%90%86%E7%8F%BE%E9%87%91%E5%A2%9E%E8%B3%87%E7%99%BC%E8%A1%8C%E6%99%AE%E9%80%9A%E8%82%A1%E5%8F%83%E8%88%87%E7%99%BC%E8%A1%8C%E6%B5%B7%E5%A4%96%E5%AD%98%E8%A8%97%E6%86%91%E8%AD%89-092617810.html
【公告】威盛董事會決議召開113年第一次股東臨時會日期及相關事宜,https://tw.stock.yahoo.com/news/%E5%85%AC%E5%91%8A-%E5%A8%81%E7%9B%9B%E8%91%A3%E4%BA%8B%E6%9C%83%E6%B1%BA%E8%AD%B0%E5%8F%AC%E9%96%8B113%E5%B9%B4%E7%AC%AC-%E6%AC%A1%E8%82%A1%E6%9D%B1%E8%87%A8%E6%99%82%E6%9C%83%E6%97%A5%E6%9C%9F%E5%8F%8A%E7%9B%B8%E9%97%9C%E4%BA%8B%E5%AE%9C-092615071.html
《半導體》AI應用升溫 威盛H2營運正向,https://tw.stock.yahoo.com/news/%E5%8D%8A%E5%B0%8E%E9%AB%94-ai%E6%87%89%E7%94%A8%E5%8D%87%E6%BA%AB-%E5%A8%81%E7%9B%9Bh2%E7%87%9F%E9%81%8B%E6%AD%A3%E5%90%91-001151882.html
AI應用升溫 威盛H2營運正向,https://tw.stock.yahoo.com/news/ai%E6%87%89%E7%94%A8%E5%8D%87%E6%BA%AB-%E5%A8%81%E7%9B%9Bh2%E7%87%9F%E9%81%8B%E6%AD%A3%E5%90%91-201000061.html
【公告】威盛更正113年6月20日重訊主旨-董事會決議112年度盈餘不分配更正為代重要子公司威宏科技股份有限公司董事會決議112年度盈餘不分配,https://tw.stock.yahoo.com/news/%E5%85%AC%E5%91%8A-%E5%A8%81%E7%9B%9B%E6%9B%B4%E6%AD%A3113%E5%B9%B46%E6%9C%8820%E6%97%A5%E9%87%8D%E8%A8%8A%E4%B8%BB%E6%97%A8-%E8%91%A3%E4%BA%8B%E6%9C%83%E6%B1%BA%E8%AD%B0112%E5%B9%B4%E5%BA%A6%E7%9B%88%E9%A4%98%E4%B8%8D%E5%88%86%E9%85%8D%E6%9B%B4%E6%AD%A3%E7%82%BA%E4%BB%A3%E9%87%8D%E8%A6%81%E5%AD%90%E5%85%AC%E5%8F%B8%E5%A8%81%E5%AE%8F%E7%A7%91%E6%8A%80%E8%82%A1%E4%BB%BD%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8%E8%91%A3%E4%BA%8B%E6%9C%83%E6%B1%BA%E8%AD%B0112%E5%B9%B4%E5%BA%A6%E7%9B%88%E9%A4%98%E4%B8%8D%E5%88%86%E9%85%8D-085956952.html
【公告】威盛一一三年股東常會重要決議事項,https://tw.stock.yahoo.com/news/%E5%85%AC%E5%91%8A-%E5%A8%81%E7%9B%9B-%E4%B8%89%E5%B9%B4%E8%82%A1%E6%9D%B1%E5%B8%B8%E6%9C%83%E9%87%8D%E8%A6%81%E6%B1%BA%E8%AD%B0%E4%BA%8B%E9%A0%85-075907188.html
【公告】威盛董事會決議112年度盈餘不分配,https://tw.stock.yahoo.com/news/%E5%85%AC%E5%91%8A-%E5%A8%81%E7%9B%9B%E8%91%A3%E4%BA%8B%E6%9C%83%E6%B1%BA%E8%AD%B0112%E5%B9%B4%E5%BA%A6%E7%9B%88%E9%A4%98%E4%B8%8D%E5%88%86%E9%85%8D-075826045.html
威盛：AI智慧產品開花結果 全年營運正向發展,https://tw.stock.yahoo.com/news/%E5%A8%81%E7%9B%9B-ai%E6%99%BA%E6%85%A7%E7%94%A2%E5%93%81%E9%96%8B%E8%8A%B1%E7%B5%90%E6%9E%9C-%E5%85%A8%E5%B9%B4%E7%87%9F%E9%81%8B%E6%AD%A3%E5%90%91%E7%99%BC%E5%B1%95-024912015.html
威盛電子 獲大陸「金力獎」叉車類獎項,https://tw.stock.yahoo.com/news/%E5%A8%81%E7%9B%9B%E9%9B%BB%E5%AD%90-%E7%8D%B2%E5%A4%A7%E9%99%B8-%E9%87%91%E5%8A%9B%E7%8D%8E-%E5%8F%89%E8%BB%8A%E9%A1%9E%E7%8D%8E%E9%A0%85-081430116.html
