,MA10,MA20,RSI,MACD,MACD_signal,Upper_BB,Middle_BB,Lower_BB,ATR,ADX,Net_Buy_Sell,Director_Shareholding,Sentiment_Score
2330.TW,-0.08737663808599842,0.2728807929060061,0.8871430276920101,4.10766804829792,-3.599843432155297,0.29244100417367724,0.27288079290600986,0.2533205816383655,0.5494391640841889,-0.08515661712422815,9.475749601059555e-05,0.0010714626833321038,0.0
2317.TW,-0.2487193347081791,0.31512938562452564,0.10705143848862093,5.460843388741625,-4.547341169597468,0.37233024808345705,0.315129385624459,0.2579285231655075,0.06675541496463672,-0.027701933824890092,1.8572347164517512e-05,-0.00042258301110187113,0.0
2382.TW,-0.2910915143558658,0.32000368783572175,0.07081734724905946,6.24540932036336,-5.046897925820912,0.3091336225071272,0.32000368783572103,0.33087375316431383,0.40937041321001505,0.017574537578290722,-2.1397462321311268e-05,0.0004247608249962035,0.0
2303.TW,-0.12721627006781444,0.2809242946492386,0.06381895110290432,4.947710032057782,-4.190342001084657,0.2617820095072782,0.2809242946492498,0.30006657979121,0.2893717978911858,0.0014318584806799,-9.273801489884998e-06,0.0006239016707907438,0.0
1216.TW,0.06145454325647539,0.23797697246755156,0.07657345356426036,3.702255125543254,-3.480608289911198,0.20900567932436104,0.23797697246763333,0.2669482656108911,0.059831158043003346,-0.004368298884032435,6.39345171187589e-06,0.000751587335993563,0.0
3711.TW,-0.09881279607723469,0.27550798913395314,0.1827634496599503,4.397555160876767,-3.8683496329390015,0.2658388176021891,0.27550798913396035,0.2851771606657085,0.2885855591723515,-0.012620323468884394,-6.3707920772184684e-06,0.0009695843291347637,0.0
1303.TW,-0.08695606297845868,0.27255166744848885,0.08925948914996587,4.494408410423731,-3.9650121359477914,0.22542525590705934,0.2725516674484733,0.3196780789899377,0.08382665090170736,0.013064877861817108,1.2073752386485177e-05,0.0004524961026053356,0.0
2002.TW,-0.17561157344240555,0.2928932397389269,0.020591114305146055,5.549305634530257,-4.614604109534948,0.33795588765171086,0.2928932397389309,0.2478305918262053,-0.03200941859155089,-0.0024189973365783897,2.43559659012732e-05,0.00015101120034459993,0.0
1301.TW,-0.16728863228156995,0.29127963072193075,0.07690812745744995,5.196119181102721,-4.395425282783925,0.27477235725417026,0.29127963072193824,0.30778690418965887,0.013280884218339556,0.010586871377581717,2.4133311469397658e-05,0.000969666391548544,0.0
3231.TW,-0.36813733611128535,0.3381341522258319,0.02211629886346785,6.74204146929258,-5.348201811142801,0.31106784443654556,0.33813415222583565,0.3652004600150926,0.46859187188387513,0.006762014203478139,8.119796213610614e-05,0.0017048523816120603,0.0
3045.TW,0.0610922348159221,0.2417242010585063,0.0871105935737785,3.8830347411013535,-3.8064095174896697,0.21223869669216208,0.24172420105851752,0.2712097054248802,-0.2606553503135925,0.003343901194117167,9.219301355005826e-06,-0.00017490682663665164,0.0
2542.TW,-0.13675372032353236,0.2929502078198273,0.03053004449356771,5.083362228883564,-4.444378880983048,0.2804215956554957,0.2929502078197877,0.30547881998410037,0.5457968522982982,-0.006440351298075307,1.6923748964198197e-05,-0.0003734901266408638,0.0
