Ticker  ,One Month Return ,Six Months Return ,One Year Return ,Monthly Win Rate ,Weekly Win Rate ,Six Months Win Rate ,One Year Win Rate
8046.TW ,-0.03%           ,-0.14%            ,-0.09%          ,49.82%           ,49.49%          ,42.86%              ,48.37%
2002.TW ,-0.04%           ,-0.09%            ,-0.09%          ,44.09%           ,43.87%          ,36.97%              ,39.02%
1303.TW ,-0.05%           ,-0.19%            ,-0.13%          ,46.44%           ,46.40%          ,37.82%              ,38.21%
3231.TW ,-0.05%           ,0.10%             ,0.03%           ,50.10%           ,50.27%          ,45.38%              ,47.15%
1303.TW ,-0.05%           ,-0.19%            ,-0.13%          ,46.44%           ,46.40%          ,37.82%              ,38.21%
1795.TW ,-0.07%           ,0.02%             ,0.02%           ,47.78%           ,47.91%          ,47.90%              ,45.93%
2353.TW ,-0.09%           ,0.01%             ,0.18%           ,49.47%           ,49.32%          ,43.70%              ,44.31%
6505.TW ,-0.13%           ,-0.17%            ,-0.08%          ,45.94%           ,46.08%          ,35.29%              ,42.68%
2303.TW ,-0.15%           ,0.06%             ,0.05%           ,47.99%           ,47.82%          ,47.06%              ,46.34%
8996.TW ,-0.15%           ,0.68%             ,0.17%           ,48.18%           ,49.00%          ,52.94%              ,46.34%
