Ticker  ,One Month Return ,Six Months Return ,One Year Return ,Monthly Win Rate ,Weekly Win Rate ,Six Months Win Rate ,One Year Win Rate
2449.TW ,1.71%            ,0.46%             ,0.35%           ,49.58%           ,49.40%          ,47.90%              ,48.37%
1513.TW ,1.20%            ,0.61%             ,0.27%           ,48.98%           ,49.15%          ,50.42%              ,46.34%
2542.TW ,0.97%            ,0.36%             ,0.19%           ,48.87%           ,48.65%          ,52.10%              ,45.93%
2308.TW ,0.96%            ,0.33%             ,0.08%           ,49.49%           ,49.39%          ,52.94%              ,47.97%
2308.TW ,0.96%            ,0.33%             ,0.08%           ,49.49%           ,49.39%          ,52.94%              ,47.97%
2317.TW ,0.83%            ,0.68%             ,0.31%           ,44.13%           ,43.98%          ,51.26%              ,45.53%
2382.TW ,0.79%            ,0.36%             ,0.31%           ,50.23%           ,50.46%          ,52.10%              ,52.03%
2881.TW ,0.76%            ,0.31%             ,0.19%           ,49.10%           ,48.42%          ,57.98%              ,52.03%
2330.TW ,0.73%            ,0.50%             ,0.25%           ,48.50%           ,48.68%          ,57.98%              ,52.85%
3035.TW ,0.66%            ,-0.14%            ,0.17%           ,49.20%           ,49.09%          ,44.54%              ,49.19%
