Title,Link
台壽揚名國際 斬獲全球六大獎項,https://tw.stock.yahoo.com/news/%E5%8F%B0%E5%A3%BD%E6%8F%9A%E5%90%8D%E5%9C%8B%E9%9A%9B-%E6%96%AC%E7%8D%B2%E5%85%A8%E7%90%83%E5%85%AD%E5%A4%A7%E7%8D%8E%E9%A0%85-201000786.html
【Hot台股】中信金跌逾4％遭虧「一天除息兩次？」專家：反而是好買點,https://tw.stock.yahoo.com/news/%E3%80%90hot%E5%8F%B0%E8%82%A1%E3%80%91%E4%B8%AD%E4%BF%A1%E9%87%91%E8%B7%8C%E9%80%BE4%EF%BC%85%E9%81%AD%E8%99%A7%E3%80%8C%E4%B8%80%E5%A4%A9%E9%99%A4%E6%81%AF%E5%85%A9%E6%AC%A1%EF%BC%9F%E3%80%8D%E5%B0%88%E5%AE%B6%EF%BC%9A%E5%8F%8D%E8%80%8C%E6%98%AF%E5%A5%BD%E8%B2%B7%E9%BB%9E-034530014.html
【Yahoo早盤】川普遭槍擊台股紅翻黑 分析師翁偉捷：外資空單已破4萬口,https://tw.stock.yahoo.com/news/%E3%80%90yahoo%E6%97%A9%E7%9B%A4%E3%80%91%E5%B7%9D%E6%99%AE%E9%81%AD%E6%A7%8D%E6%93%8A%E5%8F%B0%E8%82%A1%E7%B4%85%E7%BF%BB%E9%BB%91-%E5%88%86%E6%9E%90%E5%B8%AB%E7%BF%81%E5%81%89%E6%8D%B7%EF%BC%9A%E5%A4%96%E8%B3%87%E7%A9%BA%E5%96%AE%E5%B7%B2%E7%A0%B44%E8%90%AC%E5%8F%A3-015134487.html
最強5月！國人單月刷卡、累計雙創同期新高 中信金611億元拿第一,https://tw.stock.yahoo.com/news/%E6%9C%80%E5%BC%B75%E6%9C%88%EF%BC%81%E5%9C%8B%E4%BA%BA%E5%96%AE%E6%9C%88%E5%88%B7%E5%8D%A1%E3%80%81%E7%B4%AF%E8%A8%88%E9%9B%99%E5%89%B5%E5%90%8C%E6%9C%9F%E6%96%B0%E9%AB%98-%E4%B8%AD%E4%BF%A1%E9%87%91611%E5%84%84%E5%85%83%E6%8B%BF%E7%AC%AC%E4%B8%80-092420071.html
【公告】子公司中信銀發行113年度第32期無擔保主順位7個月期美元計價提前出場一籃子股權連結固定收益(Fixed Coupon)型不保本金融債券美元30萬元整,https://tw.stock.yahoo.com/news/%E5%85%AC%E5%91%8A-%E5%AD%90%E5%85%AC%E5%8F%B8%E4%B8%AD%E4%BF%A1%E9%8A%80%E7%99%BC%E8%A1%8C113%E5%B9%B4%E5%BA%A6%E7%AC%AC32%E6%9C%9F%E7%84%A1%E6%93%94%E4%BF%9D%E4%B8%BB%E9%A0%86%E4%BD%8D7%E5%80%8B%E6%9C%88%E6%9C%9F%E7%BE%8E%E5%85%83%E8%A8%88%E5%83%B9%E6%8F%90%E5%89%8D%E5%87%BA%E5%A0%B4-%E7%B1%83%E5%AD%90%E8%82%A1%E6%AC%8A%E9%80%A3%E7%B5%90%E5%9B%BA%E5%AE%9A%E6%94%B6%E7%9B%8A-fixed-coupon-082407281.html
【公告】中信金 2024年6月合併營收168.86億元 年增-4.86%,https://tw.stock.yahoo.com/news/%E5%85%AC%E5%91%8A-%E4%B8%AD%E4%BF%A1%E9%87%91-2024%E5%B9%B46%E6%9C%88%E5%90%88%E4%BD%B5%E7%87%9F%E6%94%B6168-86%E5%84%84%E5%85%83-%E5%B9%B4%E5%A2%9E-061247060.html
中信銀深耕新加坡15年 拚當境外資金管理中心,https://tw.stock.yahoo.com/news/%E4%B8%AD%E4%BF%A1%E9%8A%80%E6%B7%B1%E8%80%95%E6%96%B0%E5%8A%A0%E5%9D%A115%E5%B9%B4-%E6%8B%9A%E7%95%B6%E5%A2%83%E5%A4%96%E8%B3%87%E9%87%91%E7%AE%A1%E7%90%86%E4%B8%AD%E5%BF%83-105919674.html
一表看14家金控上半年大賺3374億元年增六成 新光金單月進前三強,https://tw.stock.yahoo.com/news/%E4%B8%80%E8%A1%A8%E7%9C%8B14%E5%AE%B6%E9%87%91%E6%8E%A7%E4%B8%8A%E5%8D%8A%E5%B9%B4%E5%A4%A7%E8%B3%BA3374%E5%84%84%E5%85%83%E5%B9%B4%E5%A2%9E%E5%85%AD%E6%88%90-%E6%96%B0%E5%85%89%E9%87%91%E5%96%AE%E6%9C%88%E9%80%B2%E5%89%8D%E4%B8%89%E5%BC%B7-101930483.html
【公告】子公司中信銀發行113年度第31期無擔保主順位12個月期美元計價提前出場一籃子股權連結固定收益(Fixed Coupon)型不保本金融債券美元30萬元整,https://tw.stock.yahoo.com/news/%E5%85%AC%E5%91%8A-%E5%AD%90%E5%85%AC%E5%8F%B8%E4%B8%AD%E4%BF%A1%E9%8A%80%E7%99%BC%E8%A1%8C113%E5%B9%B4%E5%BA%A6%E7%AC%AC31%E6%9C%9F%E7%84%A1%E6%93%94%E4%BF%9D%E4%B8%BB%E9%A0%86%E4%BD%8D12%E5%80%8B%E6%9C%88%E6%9C%9F%E7%BE%8E%E5%85%83%E8%A8%88%E5%83%B9%E6%8F%90%E5%89%8D%E5%87%BA%E5%A0%B4-%E7%B1%83%E5%AD%90%E8%82%A1%E6%AC%8A%E9%80%A3%E7%B5%90%E5%9B%BA%E5%AE%9A%E6%94%B6%E7%9B%8A-fixed-coupon-094026895.html
《金融股》中信金股價站穩40關 上半年EPS1.85元,https://tw.stock.yahoo.com/news/%E9%87%91%E8%9E%8D%E8%82%A1-%E4%B8%AD%E4%BF%A1%E9%87%91%E8%82%A1%E5%83%B9%E7%AB%99%E7%A9%A940%E9%97%9C-%E4%B8%8A%E5%8D%8A%E5%B9%B4eps1-85%E5%85%83-002139835.html
