Title,Link
《電零組》台達電8月1日召開法說,https://tw.stock.yahoo.com/news/%E9%9B%BB%E9%9B%B6%E7%B5%84-%E5%8F%B0%E9%81%94%E9%9B%BB8%E6%9C%881%E6%97%A5%E5%8F%AC%E9%96%8B%E6%B3%95%E8%AA%AA-060944469.html
【公告】台達電自辦法人說明會之相關資訊,https://tw.stock.yahoo.com/news/%E5%85%AC%E5%91%8A-%E5%8F%B0%E9%81%94%E9%9B%BB%E8%87%AA%E8%BE%A6%E6%B3%95%E4%BA%BA%E8%AA%AA%E6%98%8E%E6%9C%83%E4%B9%8B%E7%9B%B8%E9%97%9C%E8%B3%87%E8%A8%8A-060919224.html
《各報要聞》地緣政治風險升溫…鄭平：市場導向 全球化取勝,https://tw.stock.yahoo.com/news/%E5%90%84%E5%A0%B1%E8%A6%81%E8%81%9E-%E5%9C%B0%E7%B7%A3%E6%94%BF%E6%B2%BB%E9%A2%A8%E9%9A%AA%E5%8D%87%E6%BA%AB-%E9%84%AD%E5%B9%B3-%E5%B8%82%E5%A0%B4%E5%B0%8E%E5%90%91-%E5%85%A8%E7%90%83%E5%8C%96%E5%8F%96%E5%8B%9D-233952488.html
地緣政治風險升溫…鄭平：市場導向 全球化取勝,https://tw.stock.yahoo.com/news/%E5%9C%B0%E7%B7%A3%E6%94%BF%E6%B2%BB%E9%A2%A8%E9%9A%AA%E5%8D%87%E6%BA%AB-%E9%84%AD%E5%B9%B3-%E5%B8%82%E5%A0%B4%E5%B0%8E%E5%90%91-%E5%85%A8%E7%90%83%E5%8C%96%E5%8F%96%E5%8B%9D-201000380.html
沾AI光 台達電、華通後市可期,https://tw.stock.yahoo.com/news/%E6%B2%BEai%E5%85%89-%E5%8F%B0%E9%81%94%E9%9B%BB-%E8%8F%AF%E9%80%9A%E5%BE%8C%E5%B8%82%E5%8F%AF%E6%9C%9F-201000705.html
PC旺季加持 奇鋐Q3拚月月高,https://tw.stock.yahoo.com/news/pc%E6%97%BA%E5%AD%A3%E5%8A%A0%E6%8C%81-%E5%A5%87%E9%8B%90q3%E6%8B%9A%E6%9C%88%E6%9C%88%E9%AB%98-201000183.html
邁向永續標竿 台達電美洲廠辦有望2025年100%綠電,https://tw.stock.yahoo.com/news/%E9%82%81%E5%90%91%E6%B0%B8%E7%BA%8C%E6%A8%99%E7%AB%BF-%E5%8F%B0%E9%81%94%E9%9B%BB%E7%BE%8E%E6%B4%B2%E5%BB%A0%E8%BE%A6%E6%9C%89%E6%9C%9B2025%E5%B9%B4100-%E7%B6%A0%E9%9B%BB-044116547.html
台達電6月、Q2、上半年營收齊創同期新高，盤中股價續締新猷,https://tw.stock.yahoo.com/news/%E5%8F%B0%E9%81%94%E9%9B%BB6%E6%9C%88-q2-%E4%B8%8A%E5%8D%8A%E5%B9%B4%E7%87%9F%E6%94%B6%E9%BD%8A%E5%89%B5%E5%90%8C%E6%9C%9F%E6%96%B0%E9%AB%98-%E7%9B%A4%E4%B8%AD%E8%82%A1%E5%83%B9%E7%BA%8C%E7%B7%A0%E6%96%B0%E7%8C%B7-031929533.html
台達電 營收大三元,https://tw.stock.yahoo.com/news/%E5%8F%B0%E9%81%94%E9%9B%BB-%E7%87%9F%E6%94%B6%E5%A4%A7%E4%B8%89%E5%85%83-201000939.html
台達電股價衝破400元關卡 上半年營收成長0.69%,https://tw.stock.yahoo.com/news/%E5%8F%B0%E9%81%94%E9%9B%BB%E8%82%A1%E5%83%B9%E8%A1%9D%E7%A0%B4400%E5%85%83%E9%97%9C%E5%8D%A1-%E4%B8%8A%E5%8D%8A%E5%B9%B4%E7%87%9F%E6%94%B6%E6%88%90%E9%95%B70-69-101705894.html
