Date,Close,Volume,MA10,MA20,RSI,MACD,MACD_signal,Upper_BB,Middle_BB,Lower_BB,ATR,ADX
2020-01-02,441.5,6237.434,,,,,,,,,,
2020-01-03,434.5,12375.266,,,,,,,,,,
2020-01-06,424.0,8448.516,,,,,,,,,,
2020-01-07,426.0,11707.155,,,,,,,,,,
2020-01-08,430.5,9695.448,,,,,,,,,,
2020-01-09,437.0,6951.194,,,,,,,,,,
2020-01-10,432.0,7683.248,,,,,,,,,,
2020-01-13,422.0,10239.998,,,,,,,,,,
2020-01-14,416.0,19437.055,,,,,,,,,,
2020-01-15,416.0,25888.092,427.95,,,,,,,,,
2020-01-16,421.0,13075.722,425.9,,,,,,,,,
2020-01-17,420.5,8525.316,424.5,,,,,,,,,
2020-01-20,419.0,5654.773,424.0,,,,,,,,,
2020-01-30,383.5,22330.256,419.75,,,,,,,,,
2020-01-31,388.0,10276.123,415.5,,22.84263959390863,,,,,,13.571428571428571,
2020-02-03,382.0,10441.301,410.0,,21.436423598387687,,,,,,13.673469387755102,
2020-02-04,390.5,9425.276,405.85,,28.181607359117734,,,,,,16.661078717201168,
2020-02-05,381.0,16153.382,401.75,,25.542124088076413,,,,,,16.32814452311537,
2020-02-06,382.0,10150.866,398.35,,26.324360711091444,,,,,,15.911848485749987,
2020-02-07,381.0,10226.51,394.85,411.4,26.029861562213018,,,453.78702631702333,411.4,369.0129736829766,15.239573593910702,
2020-02-10,380.0,10628.172,390.75,408.325,25.719990022559358,,,450.45370161778226,408.325,366.1962983822177,14.972461194345652,
2020-02-11,390.0,11236.133,387.7,406.1,34.160712777073925,,,447.15070035943256,406.1,365.0492996405675,14.724428251892391,
2020-02-12,401.5,13580.808,385.95,404.975,42.283255965921725,,,445.2272980710411,404.975,364.72270192895894,14.636969091042934,
2020-02-13,408.5,15438.27,388.45,404.1,46.60162573268939,,,443.23131738134936,404.1,364.9686826186507,14.341471298825581,
2020-02-14,405.5,9177.582,390.2,402.85,45.0460795795433,,,440.07915524155624,402.85,365.6208447584438,13.674223348909468,
2020-02-17,398.0,9199.824,391.8,400.9,41.331672447596915,,,434.69733717321714,400.9,367.1026628267828,13.518921681130221,
2020-02-18,392.0,7500.223,391.95,398.9,38.590198119513666,,,429.7003246736139,398.9,368.09967532638603,12.981855846763777,
2020-02-19,388.5,9008.26,392.7,397.225,37.04654268549907,,,426.4199910087316,397.225,368.03000899126846,12.66172328628065,19.32764641650826
2020-02-20,394.0,8177.571,393.9,396.125,41.03794321901299,,,424.0371389363127,396.125,368.2128610636873,12.221600194403461,18.864240543194654
2020-02-21,388.0,7800.08,394.6,394.725,38.19306621258506,,,421.28526167039576,394.725,368.1647383296043,11.777200180517498,18.43393508940345
2020-02-24,377.0,13066.425,394.3,392.525,33.59496785577142,,,417.2403292512973,392.525,367.8096707487027,11.793114453337678,18.805784679149944
2020-02-25,378.5,10230.047,393.15,390.425,34.7485986270979,,,412.2430544503851,390.425,368.6069455496149,11.807891992384986,19.438359191796867
2020-02-26,375.0,10856.144,390.5,388.225,33.29512242573959,,,406.6897637407038,388.225,369.7602362592962,11.464471135786058,20.025749810683294
2020-02-27,360.0,14733.37,385.65,387.05,27.907475979862323,-13.912151036888815,-14.204485254168029,409.192493084563,387.05,364.907506915437,11.931294626087054,21.279357217170197
2020-03-02,363.0,11499.602,381.4,385.8,30.33545514236897,-14.337367417180246,-14.231061686770472,410.28550591676475,385.8,361.3144940832353,12.11477358136655,22.749866721039954
2020-03-03,372.0,10014.005,378.8,385.3,37.171676740439686,-13.789176633452087,-14.142684676106795,410.47419313503394,385.3,360.1258068649661,12.356575468411794,23.03316902265188
2020-03-04,370.5,10894.688,376.65,384.3,36.52829728374892,-13.322198935278209,-13.978587527941077,410.1484042060607,384.3,358.4515957939393,12.081105792096666,23.66899993072272
2020-03-05,385.0,10735.601,376.3,384.5,46.21881219672952,-11.647818129754171,-13.512433648303695,410.30503826774964,384.5,358.69496173225036,12.253883949804047,23.124293809668313
2020-03-06,378.5,7373.406,374.75,384.325,43.04610084972798,-10.72176116668254,-12.954299151979464,410.2427063028355,384.325,358.4072936971645,11.9857493819609,22.618495268689223
2020-03-09,366.5,11472.891,372.6,383.6,37.87673897434223,-10.831297606820954,-12.529698842947763,410.63627193234976,383.6,356.5637280676503,12.379624426106549,23.034246536314587
2020-03-10,373.5,11832.469,372.25,383.275,42.23459069531912,-10.23527860571204,-12.070814795500619,410.6309408538626,383.275,355.91905914613733,12.316794109956081,23.190905068018854
2020-03-11,363.0,9371.669,370.7,381.925,37.93582584349219,-10.489277637826603,-11.754507363965816,410.45967189227935,381.925,353.3903281077207,12.508451673530647,23.011413486739627
2020-03-12,336.0,19239.208,366.8,378.65,29.594343147601602,-12.72258995486419,-11.948123882145492,412.06421853044185,378.65,345.2357814695581,13.543562268278459,24.120624769003314
2020-03-13,341.0,23633.277,364.9,375.275,32.55203865249928,-13.928488893228518,-12.344196884362097,409.5714648324018,375.275,340.9785351675982,15.647593534829998,26.13524707795184
